,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
156,Hambantota,LK,6.1241,81.1185,80.49,82,22,13.69,few clouds
157,Dwarka,IN,22.2394,68.9678,82.53,84,12,8.77,few clouds
158,Hasaki,JP,35.7333,140.8333,64.29,80,0,8.46,clear sky
159,Matara,LK,5.9485,80.5353,78.49,88,26,7.65,scattered clouds
160,Lompoc,US,34.6391,-120.4579,96.1,50,1,4.61,clear sky
161,Ceyhan,TR,37.0247,35.8175,80.44,50,0,2.51,clear sky
162,Skibbereen,IE,51.55,-9.2667,51.6,81,67,14.92,broken clouds
163,Deputatskiy,RU,69.3,139.9,17.35,95,92,3.74,light snow
164,Northam,GB,51.0333,-4.2167,57.15,80,35,17.02,scattered clouds
165,Jutai,BR,-5.1833,-68.9,89.42,56,82,0.4,broken clouds
166,Barcelos,PT,41.5388,-8.6151,62.85,69,18,6.46,few clouds
167,Ponta Delgada,PT,37.7333,-25.6667,75.51,94,75,5.75,broken clouds
168,Balotra,IN,25.8333,72.2333,85.75,54,8,11.79,clear sky
169,Kamaishi,JP,39.2667,141.8833,63.03,90,19,10.38,few clouds
170,Tiznit,MA,29.5833,-9.5,65.7,67,17,6.26,few clouds
171,Karratha,AU,-20.7377,116.8463,70.63,66,0,11.12,clear sky
172,Lazaro Cardenas,MX,17.9583,-102.2,85.82,62,59,3.71,broken clouds
173,Hukuntsi,BW,-24.0,21.75,63.32,16,0,9.4,clear sky
174,Jaynagar,IN,26.5833,86.15,74.21,94,99,5.86,overcast clouds
175,Talnakh,RU,69.4865,88.3972,15.13,96,78,1.21,broken clouds
176,Calama,CL,-22.4667,-68.9333,73.89,5,0,25.32,clear sky
177,Viedma,AR,-40.8135,-62.9967,61.39,28,1,16.2,clear sky
178,Maceio,BR,-9.6658,-35.7353,85.44,65,75,14.97,broken clouds
179,Santa Fe,AR,-31.6333,-60.7,66.0,26,88,8.01,overcast clouds
180,Quatre Cocos,MU,-20.2078,57.7625,72.09,78,24,16.53,few clouds
181,Gazanjyk,TM,39.2446,55.5154,61.88,18,0,19.57,clear sky
182,Chuy,UY,-33.6971,-53.4616,62.96,53,89,11.54,overcast clouds
183,Egvekinot,RU,66.3167,-179.1667,24.96,97,100,2.86,light snow
184,Kachiry,KZ,53.0675,76.1036,36.75,70,100,5.59,overcast clouds
185,Plotnikovo,RU,55.0247,85.9436,30.54,99,100,6.53,overcast clouds
186,Akdepe,TM,42.0551,59.3788,46.49,51,1,11.03,clear sky
